Key,en,es,ar
medical Aid Kit,Medical & Aid Kit,Botiquín médico y de ayuda,طقم طبي ومساعدات
food And Water,Food and Water,Comida y agua,الغذاء والماء
help Homeless People,Help Homeless People,Ayudar a las personas sin hogar,مساعدة المشردين
education,Education,Educación,تعليم
health,Health,Salud,صحة
variations,"There are many variations of passages of Lorem Ipsum, but the majority have suffered alteration,or randomised word.but the majority have suffered alteration,or randomised word.but the majority have suffered alteration,or randomised word","Hay muchas variaciones de pasajes de Lorem Ipsum, pero la mayoría ha sufrido alteración o palabra aleatoria. pero la mayoría ha sufrido alteración o palabra aleatoria. pero la mayoría ha sufrido alteración o palabra aleatoria",هناك العديد من الاختلافات لنصوص لوريم إيبسوم، لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية. لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية. لكن الأغلبية تعرضت للتعديل، أو الكلمة العشوائية
students Take,Students take the initiative to help children,Los estudiantes toman la iniciativa para ayudar a los niños.,يأخذ الطلاب زمام المبادرة لمساعدة الأطفال
food Crisis,What you need to know about the food crisis,Lo que necesitas saber sobre la crisis alimentaria,ما تحتاج لمعرفته حول أزمة الغذاء
the Right Guideline,The right guideline to donate for homeless people,La pauta correcta para donar para personas sin hogar,المبدأ التوجيهي الصحيح للتبرع للمشردين
thanks For Donate,Thanks for Donate us. We are really appreciate your Donation.,Gracias por donarnos. Realmente apreciamos su donación.,شكرا للتبرع لنا. نحن نقدر حقًا تبرعك.
About Us,About Us,Sobre nosotros,معلومات عنا
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة
enter Old Password,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
save,Save,Ahorrar,يحفظ
card Holder Name,Card Holder Name,Nombre del titular de la tarjeta,إسم صاحب البطاقة
pay Now,Pay Now,Pagar ahora,ادفع الآن
whay People Say,What People Say,Lo que dice la gente,ما يقوله الناس
view More,View More,Ver más,عرض المزيد
continue As A Guest,Continue as a Guest,Continuar como invitado,الاستمرار كضيف
dont Have An Accoun,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
resend Code In,Resend Code in,Reenviar código en,إعادة إرسال الرمز في
label Name,Name,Nombre,اسم
label Phone,Phone,Teléfono,هاتف
field Email,email,correo electrónico,بريد إلكتروني
label Email,Email,Correo electrónico,بريد إلكتروني
what Have,What have we done with your help,¿Qué hemos hecho con tu ayuda?,ماذا فعلنا بمساعدتكم
ten,ten,diez,عشرة
twenty,twenty,veinte,عشرين
manage,Manage all activities from our foundation,Gestionar todas las actividades desde nuestra fundación.,إدارة جميع الأنشطة من مؤسستنا
vestibulum,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Praesent sapien massa.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Praesent masa sapiens.",الدهليز قبل ipsum primis في faucibus orci luctus et ultrices posuere cubilia Curae؛ Donec velit neque، auctor sit amet aliquam vel، ullamcorper sit amet ligula. لقد حان وقت العلاج، وهو أمر ضروري ومفيد، ومنفذ إلى حد ما. برايسينت سابين ماسا.
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل
Language Information,Language Information,Información de idioma,معلومات اللغة
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Server Information,Server Information,información del servidor,معلومات الخادم
Setup Category Type,Setup Category Type,Tipo de categoría de configuración,نوع فئة الإعداد
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Setup FAQ,Setup FAQ,Preguntas frecuentes sobre la configuración,الأسئلة الشائعة حول الإعداد
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
Useful Link Edit,Useful Link Edit,Enlace útil Editar,تعديل الرابط المفيد
Stripe Payment,Stripe Payment,Pago de franjas,الدفع الشريطي
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي
Request Moneny,Request Moneny,Solicitar dinero,طلب المال
Withdraw Log,Withdraw Log,Retirar registro,سجل السحب
Money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم الفني
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Conversation,Conversation,Conversación,محادثة
Gateway Api,Gateway Api,API de puerta de enlace,بوابة API
Paid Invoice,Paid Invoice,Factura pagada,فاتورة مدفوعة
Unpaid Invoice,Unpaid Invoice,Factura impaga,فاتورة غير مدفوعة
Draft Invoice,Draft Invoice,Proyecto de factura,مسودة فاتورة
Manual Money Out,Manual Money Out,Salida de dinero manual,إخراج الأموال يدويًا
All Link,All Link,Todos los enlaces,كل الرابط
Closed Link,Closed Link,Enlace cerrado,رابط مغلق
Active Link,Active Link,Enlace activo,الرابط النشط
How It Work,How It Work,Como funciona,كيف تعمل
Security Section,Security Section,Sección de Seguridad,قسم الأمن
User Details,User Details,Detalles de usuario,بيانات المستخدم
error,error,error,خطأ
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Success,success,éxito,نجاح
Invoice Created Successful.,Invoice Created Successful.,Factura creada correctamente.,تم إنشاء الفاتورة بنجاح.
Invalid Request!,Invalid Request!,¡Solicitud no válida!,طلب غير صالح!
Invoice Updated Successful.,Invoice Updated Successful.,Factura actualizada correctamente.,تم تحديث الفاتورة بنجاح.
Invoice Save As Draft.,Invoice Save As Draft.,Factura Guardar como borrador.,فاتورة حفظ كمسودة.
Invoice Published Successful.,Invoice Published Successful.,Factura publicada correctamente.,تم نشر الفاتورة بنجاح.
Data Fetch Successful.,Data Fetch Successful.,Obtención de datos exitosa.,تم جلب البيانات بنجاح.
Payment Link Created Successful.,Payment Link Created Successful.,Enlace de pago creado correctamente.,تم إنشاء رابط الدفع بنجاح.
Payment Link Updated Successful.,Payment Link Updated Successful.,Enlace de pago actualizado correctamente.,تم تحديث رابط الدفع بنجاح.
Status Change Successful.,Status Change Successful.,Cambio de estado exitoso.,تم تغيير الحالة بنجاح.
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Proof Of Identity,Proof Of Identity,Prueba de identidad,إثبات الهوية
Invoice,Invoice,Factura,فاتورة
Invoice Create,Invoice Create,Crear factura,إنشاء الفاتورة
Payment Link Create,Payment Link Create,Crear enlace de pago,إنشاء رابط الدفع
Invoice Preview,Invoice Preview,Vista previa de factura,معاينة الفاتورة
Invoice Share,Invoice Share,Compartir factura,مشاركة الفاتورة
Invoice Link,Invoice Link,Enlace de factura,رابط الفاتورة
Money Out,Money Out,Salida de dinero,لم يبقى اي من المال
Payment Links,Payment Links,Enlaces de pago,روابط الدفع
Payment Link Edit,Payment Link Edit,Enlace de pago Editar,تعديل رابط الدفع
Link Share,Link Share,Enlace compartido,مشاركة الرابط
Payment Link,Payment Link,Enlace de pago,رابط الدفع
Withdraw Moneny,Withdraw Moneny,Retirar dinero,سحب المال
Category Name,Category Name,nombre de la categoría,اسم التصنيف
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة
Type | Rate,Type | Rate,Tipo | Tasa,اكتب | معدل
Country,Country,País,دولة
Add Web Journal,Add Web Journal,Agregar diario web,إضافة مجلة الويب
Select Category,Select Category,selecciona una categoría,اختر الفئة
View Payment Link,View Payment Link,Ver enlace de pago,عرض رابط الدفع
View Money Out,View Money Out,Ver retiro de dinero,عرض الأموال الصادرة
Update Rate,Update Rate,Frecuencia de actualización,معدل التحديث
Question,Question,Pregunta,سؤال
Answer,Answer,Respuesta,إجابة
Money Out Details,Money Out Details,Detalles de retiro de dinero,تفاصيل صرف الأموال
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل الأموال
User Email,User Email,Correo electrónico del usuario,البريد الالكتروني للمستخدم
Customer Name,Customer Name,Nombre del cliente,اسم الزبون
Qty,Qty,Cantidad,الكمية
Total,Total,Total,المجموع
Due Date,Due Date,Fecha de vencimiento,تاريخ الاستحقاق
Collect Payment With Invoice,Collect Payment With Invoice,Cobrar pago con factura,جمع الدفع مع الفاتورة
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
subtract,subtract,sustraer,طرح او خصم
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
Edit Event,Edit Event,Editar evento,تحرير الحدث
Payment Required,Payment Required,pago requerido,الدفع مطلوب
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدا
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة
widget-title,widget-title,título del widget,عنوان الأداة
Categories,Categories,Categorías,فئات
Description,Description,Descripción,وصف
Unit price,Unit price,Precio unitario,سعر الوحدة
Subtotal,Subtotal,Total parcial,المجموع الفرعي
Amount due,Amount due,Monto adeudado,المبلغ المستحق
due,due,pendiente,حق
Pay with Debit & Credit Card,Pay with Debit & Credit Card,Pague con tarjeta de débito y crédito,الدفع باستخدام بطاقة الخصم والائتمان
Securely save my information for 1-click checkout,Securely save my information for 1-click checkout,Guarde mi información de forma segura para realizar el pago con 1 clic,احفظ معلوماتي بشكل آمن للدفع بنقرة واحدة
Pay faster on,Pay faster on,Paga más rápido en,ادفع بشكل أسرع على
and everywhere Link is accepted,and everywhere Link is accepted,y en todas partes se acepta enlace,ويتم قبول الارتباط في كل مكان
Pay,Pay,Pagar,يدفع
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Total Gateway,Total Gateway,Puerta de enlace total,بوابة المجموع
Address,Address,DIRECCIÓN,عنوان
Subject,Subject,Sujeto,موضوع
Explore,Explore,Explorar,يستكشف
Download,Download,Descargar,تحميل
iOS,iOS,iOS,دائرة الرقابة الداخلية
Android,Android,Androide,ذكري المظهر
header-btn btn--base active,header-btn btn--base active,encabezado-btn btn--base activa,رأس btn btn--قاعدة نشطة
header-btn header-custom-btn,header-btn header-custom-btn,encabezado-btn encabezado-btn-personalizado,رأس btn رأس مخصص btn
Log In,Log In,Acceso,تسجيل الدخول
Register,Register,Registro,يسجل
Sellvialink,Sellvialink,Enlace de pago,رابط الدفع
Get It On,Get It On,Consíguelo,احصل عليه
Google Play,Google Play,Google Play,تطبيقات جوجل
Download On The,Download On The,Descargar en el,تحميل على
Apple Store,Apple Store,tienda Apple,متجر آبل
Invoice number,Invoice number,Número de factura,رقم الفاتورة
Date due,Date due,Fecha de vencimiento,تاريخ الاستحقاق
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Verify Mail,Verify Mail,Verificar correo,التحقق من البريد
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
Set New Password,Set New Password,Establecer nueva contraseña,تعيين كلمة مرور جديدة
Please Enter your new password and get login access on your Dashboard,Please Enter your new password and get login access on your Dashboard,Ingrese su nueva contraseña y obtenga acceso de inicio de sesión en su Panel de control,الرجاء إدخال كلمة المرور الجديدة الخاصة بك والحصول على حق الوصول لتسجيل الدخول على لوحة التحكم الخاصة بك
Verify OTP,Verify OTP,Verificar OTP,التحقق من كلمة المرور لمرة واحدة (OTP).
Login In,Login In,Iniciar sesión en,الدخول في
Don,Don,Don,اِتَّشَح
user.register,user.register,usuario.registro,تسجيل المستخدم
By clicking Login you are agreeing with our,By clicking Login you are agreeing with our,Al hacer clic en Iniciar sesión estás de acuerdo con nuestra,بالنقر فوق تسجيل الدخول، فإنك توافق على موافقتنا
Terms of Service,Terms of Service,Términos de servicio,شروط الخدمة
Select Country,Select Country,Seleccionar país,حدد الدولة
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
login,login,acceso,تسجيل الدخول
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
Sender Email,Sender Email,Correo electrónico del remitente,البريد الإلكتروني المرسل
Sender Card Number,Sender Card Number,Número de tarjeta del remitente,رقم بطاقة المرسل
Payments,Payments,Pagos,المدفوعات
Transactions,Transactions,Actas,المعاملات
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Customer,Customer,Cliente,عميل
Currency,Currency,Divisa,عملة
Pay With Payment Gateway,Pay With Payment Gateway,Pagar con Pasarela de Pago,الدفع باستخدام بوابة الدفع
Select One,Select One,Seleccione uno,حدد واحدًا
Items,Items,Elementos,أغراض
Quantity,Quantity,Cantidad,كمية
Create Invoice,Create Invoice,Crear factura,إنشاء فاتورة
Preview,Preview,Avance,معاينة
left,left,izquierda,غادر
right,right,bien,يمين
Bill to,Bill to,Cobrar a,مشروع قانون ل
Payment Now,Payment Now,Pago ahora,الدفع الآن
Update Invoice,Update Invoice,Actualizar factura,تحديث الفاتورة
price,Price,Precio,سعر
dynamic_price,dynamic_price,precio_dinamico,dynamic_price
Invoice Logs,Invoice Logs,Registros de facturas,سجلات الفاتورة
Edit,Edit,Editar,يحرر
Show Invoice,Show Invoice,Mostrar factura,إظهار الفاتورة
Delete,Delete,Borrar,يمسح
Close,Close,Cerca,يغلق
Save as Draft,Save as Draft,Guardar como borrador,حفظ كمسودة
Publish Invoice,Publish Invoice,Publicar factura,نشر الفاتورة
Share Invoice,Share Invoice,Compartir factura,حصة الفاتورة
Invoice Created Successfully,Invoice Created Successfully,Factura creada exitosamente,تم إنشاء الفاتورة بنجاح
Copy link,Copy link,Copiar link,نسخ الوصلة
Create Another Link,Create Another Link,Crear otro enlace,إنشاء رابط آخر
Customers choose what to pay,Customers choose what to pay,Los clientes eligen qué pagar,يختار العملاء ما يجب دفعه
Products or subscriptions,Products or subscriptions,Productos o suscripciones,المنتجات أو الاشتراكات
Payment Page,Payment Page,Página de pago,صفحة الدفع
Set limits,Set limits,Pon límites,ضع الحدود
Minimum amount,Minimum amount,Monto minimo,الحد الأدنى للمبلغ
Maximum amount,Maximum amount,Importe máximo,الحد الأقصى للمبلغ
Create New Link,Create New Link,Crear nuevo enlace,إنشاء رابط جديد
selected,selected,seleccionado,المحدد
label,label,etiqueta,ملصق
Give customers more detail about what they are paying for.,Give customers more detail about what they are paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.
Image,Image,Imagen,صورة
Update Link,Update Link,Enlace de actualización,تحديث الرابط
Create Link,Create Link,Crear enlace,إنشاء رابط
Payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito,تم إنشاء رابط الدفع بنجاح
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
How to setup,How to setup,Como instalar,كيفيه التنصيب
Download For Android,Download For Android,Descargar para Android,تحميل للاندرويد
Download For IOS,Download For IOS,Descargar para IOS,تحميل لنظام IOS
Attachments,Attachments,Archivos adjuntos,المرفقات
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة
Last Reply,Last Reply,Última respuesta,الرد الأخير
My Widget,My Widget,Mi widget,القطعة الخاصة بي
sub-title,sub-title,subtitular,العنوان الفرعي
Balance,Balance,Balance,توازن
Transaction Chart,Transaction Chart,Gráfico de transacciones,مخطط المعاملات
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Showing,Showing,Demostración,عرض
Installation,Installation,Instalación,تثبيت
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي
canceled,canceled,cancelado,ألغيت
Failed!,Failed!,¡Fallido!,فشل!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع
Requirements,Requirements,Requisitos,متطلبات
Back,Back,Atrás,خلف
Next,Next,Próximo,التالي
Welcome,Welcome,Bienvenido,مرحباً
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لمشروع عملية التثبيت
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación haga clic en el botón de inicio. Si elige no instalar esta aplicación, haga clic en el botón cancelar. Gracias",لمتابعة عملية التثبيت انقر على زر البداية. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا
Start,Start,Comenzar,يبدأ
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم
Send,Send,Enviar,يرسل
Add Language,Add Language,Agregar idioma,إضافة لغة
button,button,botón,زر
language,language,idioma,لغة
Add How It Work,Add How It Work,Agregar cómo funciona,أضف كيفية العمل
Add Socail Icon,Add Socail Icon,Agregar icono de red social,إضافة أيقونة Socail
Security Item,Security Item,Artículo de seguridad,عنصر الأمان
Add Service,Add Service,Agregar servicio,أضف الخدمة
Add Testimonial,Add Testimonial,Agregar testimonio,أضف شهادة
Add FAQ,Add FAQ,Agregar preguntas frecuentes,أضف الأسئلة الشائعة
Add Faq Category,Add Faq Category,Agregar categoría de preguntas frecuentes,أضف فئة الأسئلة الشائعة
Add Page,Add Page,Añadir página,إضافة صفحة
countryFlag,countryFlag,Bandera del país,علم الدولة
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Add Currency,Add Currency,Agregar moneda,أضف العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة
Edit Category,Edit Category,Editar categoria,تحرير الفئة
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Edit FAQ,Edit FAQ,Editar preguntas frecuentes,تحرير الأسئلة الشائعة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Update Extension,Update Extension,Actualizar extensión,تحديث التمديد
FAQ,FAQ,Preguntas más frecuentes,التعليمات
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
in bellow,in bellow,abajo,في رفع الصوت عاليا
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Charge,Charge,Cargar,تكلفة
Rate,Rate,Tasa,معدل
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
"This ticket is solved, you can","This ticket is solved, you can","Este ticket está solucionado, puedes",تم حل هذه التذكرة، يمكنك
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
view-btn bg--info,view-btn bg--info,ver-btn bg--info,عرض btn bg--info
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
view-btn bg--base,view-btn bg--base,ver-btn bg--base,عرض btn bg--base
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Charges,Charges,Cargos,رسوم
Admin,Admin,Administración,مسؤل
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
Notification,Notification,Notificación,إشعار
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Instructions,Instructions,Instrucciones,تعليمات
View Faq,View Faq,Ver preguntas frecuentes,عرض الأسئلة الشائعة
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية
Stripe API,Stripe API,API de franja,واجهة برمجة التطبيقات الشريطية
Public Key*,Public Key*,Llave pública*,المفتاح العمومي*
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
USER,USER,USUARIO,مستخدم
AGENT,AGENT,AGENTE,عامل
MERCHANT,MERCHANT,COMERCIANTE,تاجر
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال
User Type,User Type,Tipo de usuario,نوع المستخدم
Request Amount,Request Amount,Cantidad de la solicitud,مبلغ الطلب
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال)
gatewayImage,gatewayImage,puerta de enlaceImagen,gateImage
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول
Save And Change,Save & Change,Guardar cambios,حفظ وتغيير
State,State,Estado,ولاية
City,City,Ciudad,مدينة
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Version,Version,Versión,إصدار
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Timezone,Timezone,Zona horaria,وحدة زمنية
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
Add Category,Add Category,añadir categoría,إضافة فئة
Edit Faq Category,Edit Faq Category,Editar categoría de preguntas frecuentes,تحرير فئة الأسئلة الشائعة
Add Social Icon,Add Social Icon,Agregar ícono social,إضافة أيقونة الاجتماعية
Edit Solution,Edit Solution,Editar solución,تحرير الحل
Add Item,Add Item,Añadir artículo,اضافة عنصر
Edit Security Section,Edit Security Section,Editar sección de seguridad,تحرير قسم الأمان
View Security,View Security,Ver seguridad,عرض الأمان
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
View Service,View Service,Ver Servicio,عرض الخدمة
Edit Testimonial,Edit Testimonial,Editar testimonio,تحرير الشهادة
View Testimonial,View Testimonial,Ver testimonio,عرض الشهادة
Setup SMS,Setup SMS,Configurar SMS,إعداد الرسائل القصيرة
SMS Method,SMS Method,Método SMS,طريقة الرسائل القصيرة
Support Ticket,Support Ticket,Boleto de soporte,بطاقة الدعم
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
wallet,wallet,billetera,محفظة
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مصرح...!
Back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 ممنوع
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!
404 - Page Not Found,404 - Page Not Found,404 Pagina no encontrada,404 - الصفحة غير موجودة
Page Not Found...!,Page Not Found...!,Página no encontrada...!,الصفحة غير موجودة...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم
Server Error...!,Server Error...!,Error del Servidor...!,خطأ في الخادم...!
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
