Key,en,es
Payment Page,Payment Page,Página de pago
Set limits,Set limits,Pon límites
Minimum amount,Minimum amount,Monto minimo
Maximum amount,Maximum amount,Cantidad máxima
Create New Link,Create New Link,Crea un nuevo enlace
selected,selected,seleccionado
label,label,etiqueta
Image,Image,Imagen
Update Link,Update Link,Enlace de actualización
Create Link,Create Link,Crear enlace
Payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito
Delete Profile,Delete Profile,Borrar perfil
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications.,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos ventas para verificar a los clientes de cualquier aplicación de programación.
How to setup,How to setup,Como instalar
Download For Android,Download For Android,Descargar para Android
Download For IOS,Download For IOS,Descargar para iOS
Attachments,Attachments,Archivos adjuntos
Ticket ID,Ticket ID,Identificación de entradas
Last Reply,Last Reply,Última respuesta
My Widget,My Widget,Mi widget
sub-title,sub-title,subtitular
Balance,Balance,Balance
Transaction Chart,Transaction Chart,Gráfico de transacción
Transaction Log,Transaction Log,Registro de transacciones
Showing,Showing,Demostración
Installation,Installation,Instalación
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es
canceled,canceled,cancelado
Failed!,Failed!,¡Fallido!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos
Requirements,Requirements,Requisitos
Back,Back,Atrás
Next,Next,Próximo
Welcome,Welcome,Bienvenido
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación, haga clic en el botón Inicio. Si elige no instalar esta aplicación, haga clic en el botón Cancelar. Gracias"
Start,Start,Comenzar
Admin | Login,Admin | Login,Administrador | Acceso
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta
Send,Send,Enviar
Add Language,Add Language,Agregar lenguaje
button,button,botón
language,language,idioma
Add How It Work,Add How It Work,Agrega cómo funciona
Add Socail Icon,Add Socail Icon,Agregar icono Socail
Security Item,Security Item,Artículo de seguridad
Add Service,Add Service,Agregar servicio
Add Testimonial,Add Testimonial,Agregar testimonio
Add FAQ,Add FAQ,Agregar preguntas frecuentes
Add Faq Category,Add Faq Category,Agregar categoría de preguntas frecuentes
Add Page,Add Page,Añadir página
countryFlag,countryFlag,Bandera del país
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración
Add Currency,Add Currency,Agregar moneda
Country Flag,Country Flag,Bandera del país
Add New Screen,Add New Screen,Agregar nueva pantalla
Add New Permission,Add New Permission,Agregar nuevo permiso
Assign Permission Page/Task,Assign Permission Page/Task,Asignar la página/tarea de permiso
Edit Permission,Edit Permission,Editar permiso
Add New Role,Add New Role,Agregar un nuevo rol
Edit Role,Edit Role,Rol de edición
Add New Category,Add New Category,Añadir nueva categoria
Edit Category,Edit Category,Editar categoria
Edit Currency,Edit Currency,Editar moneda
Edit FAQ,Edit FAQ,Editar Preguntas frecuentes
Edit Screen,Edit Screen,Pantalla de edición
Update Extension,Update Extension,Extensión de actualización
FAQ,FAQ,Preguntas más frecuentes
Rejejct KYC,Rejejct KYC,REJEJCT KYC
Send Test Mail,Send Test Mail,Enviar correo de prueba
Global Setting for,Global Setting for,Escenario global para
in bellow,in bellow,a la derecha
Amount Limit,Amount Limit,Límite de cantidad
Charge,Charge,Cargar
Rate,Rate,Tasa
Total Supported Currency,Total Supported Currency,Moneda total compatible
Collect Data,Collect Data,Recolectar datos
Field Types*,Field Types*,Tipos de campo*
"This ticket is solved, you can","This ticket is solved, you can","Este boleto está resuelto, puedes"
Pending Tickets,Pending Tickets,Boletos pendientes
Active Tickets,Active Tickets,Boletos activos
view-btn bg--info,view-btn bg--info,View-BTN BG-Info
Solved Tickets,Solved Tickets,Boletos resueltos
All Tickets,All Tickets,Todas las entradas
view-btn bg--base,view-btn bg--base,View-btn bg-base
Mark as Solved,Mark as Solved,Marca como se resuelve
Support Details,Support Details,Detalles de apoyo
Charges,Charges,Cargos
Fixed Charge*,Fixed Charge*,Cargo fijo*
Percent Charge*,Percent Charge*,Porcentaje de carga*
Admin,Admin,Administración
Layout Mode,Layout Mode,Modo de diseño
Dark Mode,Dark Mode,Modo oscuro
Topbar Color,Topbar Color,Color topbar
Light Mode,Light Mode,Modo de luz
Sidebar Color,Sidebar Color,Color de la barra lateral
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral
Notification,Notification,Notificación
Clear All,Clear All,Limpiar todo
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!
Instructions,Instructions,Instrucciones
View Faq,View Faq,Ver preguntas frecuentes
Virtual Card Api,Virtual Card Api,API de tarjeta virtual
Stripe API,Stripe API,API de rayas
Secret Key*,Secret Key*,Llave secreta*
Public Key*,Public Key*,Llave pública*
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés
admin.components.page-title,admin.components.page-title,admin.components.page-title
USER,USER,USUARIO
AGENT,AGENT,AGENTE
MERCHANT,MERCHANT,COMERCIANTE
Money Out Logs,Money Out Logs,Money Out Registros
User Type,User Type,Tipo de usuario
Request Amount,Request Amount,Cantidad de la solicitud
Update Gateway,Update Gateway,Actualización de la puerta de enlace
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (agregar dinero)
gatewayImage,gatewayImage,gatewayimage
Gateway Image,Gateway Image,Imagen de puerta de enlace
Genarate Fields,Genarate Fields,Campos de genarato
Save & Change,Save & Change,Guardar cambios
State,State,Estado
City,City,Ciudad
Push Notification,Push Notification,Notificación de inserción
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificación de push del navegador
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/ notificación interna
Latest Notifications,Latest Notifications,Últimas notificaciones
Version,Version,Versión
App Environment,App Environment,Entorno de aplicaciones
App Debug,App Debug,Depurar la aplicación
App Mode,App Mode,Modo de aplicación
Database Connection,Database Connection,Conexión de base de datos
Database Host,Database Host,Host de base de datos
Database Port,Database Port,Puerto de base de datos
Database Name,Database Name,Nombre de la base de datos
Database Username,Database Username,Nombre de usuario de la base de datos
PHP Version,PHP Version,Versión php
Laravel Version,Laravel Version,Versión de Laravel
Server Software,Server Software,Software de servidor
Server IP Address,Server IP Address,Dirección IP del servidor
Server Protocol,Server Protocol,Protocolo de servidor
Timezone,Timezone,Zona horaria
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*
Setup KYC,Setup KYC,Configurar KYC
KYC Data Form,KYC Data Form,Formulario de datos de KYC
Add Category,Add Category,añadir categoría
Edit Faq Category,Edit Faq Category,EDITAR CATEGORA DE FAQ
Add Social Icon,Add Social Icon,Agregar icono social
Edit Solution,Edit Solution,Solución de edición
Add Item,Add Item,Añadir artículo
Edit Security Section,Edit Security Section,Editar sección de seguridad
View Security,View Security,Ver seguridad
Edit Service,Edit Service,Editar servicio
View Service,View Service,Ver servicio
Edit Testimonial,Edit Testimonial,Editar testimonio
View Testimonial,View Testimonial,Ver testimonio
Setup SMS,Setup SMS,Configurar SMS
SMS Method,SMS Method,Método SMS
Support Ticket,Support Ticket,Boleto de apoyo
Fees & Charges,Fees & Charges,Tarifas y cargos
User Overview,User Overview,Descripción general del usuario
Information of User,Information of User,Información del usuario
Phone Number,Phone Number,Número de teléfono
Add/Subtract Balance,Add/Subtract Balance,Balance de suma/resta
wallet,wallet,billetera
User Wallet,User Wallet,Billetera del usuario
Edit KYC,Edit KYC,Editar kyc
Information of Logs,Information of Logs,Información de los registros
File not found!,File not found!,¡Archivo no encontrado!
KYC Information not submitted yet,KYC Information not submitted yet,Información de KYC aún no se ha enviado
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario
Activation Settings,Activation Settings,Configuración de activación
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO)
401 - Unauthorized,401 - Unauthorized,401 - no autorizado
Unauthorized...!,Unauthorized...!,No autorizado...!
Back To Home,Back To Home,De vuelta a casa
403 - Forbidden,403 - Forbidden,403 - Prohibido
Forbidden...!,Forbidden...!,Prohibido...!
404 - Page Not Found,404 - Page Not Found,404 Pagina no encontrada
Page Not Found...!,Page Not Found...!,Página no encontrada...!
419 - Page Expired,419 - Page Expired,419 - Página expirada
Page Expired...!,Page Expired...!,Página expirada ...!
500 - Server Error,500 - Server Error,500 - Error del servidor
Server Error...!,Server Error...!,Error del Servidor...!
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al tablero
Back to,Back to,De regreso
KYC Information,KYC Information,Información de KYC
title text--warning,title text--warning,Texto del título-Advertencia
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.
Balance Update From Admin,Balance Update From Admin,Actualización de equilibrio desde Admin
No Record Found!,No Record Found!,¡Ningún record fue encontrado!
Disable,Disable,Desactivar
t login in your account.,t login in your account.,t Inicie sesión en su cuenta.
Enable,Enable,Permitir
d-block text-center,d-block text-center,D-Bloque D-Center
Payment Gateway,Payment Gateway,Pasarela
last,last,último
Payable Amount,Payable Amount,Cantidad a pagar
Money Out Log,Money Out Log,Money Out Log
Services,Services,Servicios
Web Journal,Web Journal,Diario web
Contact Us,Contact Us,Contáctenos
Don't Have An Account,Don't Have An Account,No tengo una cuenta
Enter Password,Enter Password,Introducir la contraseña
I have agreed with,I have agreed with,He estado de acuerdo con
Identity Verification,Identity Verification,Verificación de identidad
Collect Payment With Link,Collect Payment With Link,Cobrar el pago con enlace
Total Payment Link,Total Payment Link,Enlace de pago total
Total Invoice,Total Invoice,Total de la factura
"Payment Link, Invoice & Low Payment","Payment Link, Invoice & Low Payment","Enlace de pago, factura y bajo pago"
Card Payment,Card Payment,Pago con tarjeta
Payment Method,Payment Method,Método de pago
Sender Full Name,Sender Full Name,Nombre completo del remitente
